zip_first_three_digits,population_count,housing_count,total_male_population,total_female_population,white,black_or_african_american,american_indian_or_alaskan_native,asian,native_hawaiian_and_other_pacific_islander,other_race,two_or_more_races,median_household_income,percent_population_in_poverty,median_earnings_past_year,percent_high_school_graduate,percent_bachelors_degree,percent_graduate_degree,pop_under_10,pop_10_to_19,pop_20_to_29,pop_30_to_39,pop_40_to_49,pop_50_to_59,pop_60_to_69,pop_70_to_79,pop_80_plus,kmeans_cluster
623,159061.0,70056.0,79521.0,79540.0,149723.0,4629.0,321.0,1050.0,40.0,1056.0,2242.0,54267.40231106305,12.208920158932736,30634.780537026676,88.93001611771585,22.200844335820843,7.682544386116018,322.64406779661016,350.79661016949154,308.4237288135593,314.7118644067797,392.6271186440678,406.50847457627117,288.9830508474576,176.22033898305085,135.03389830508473,2
624,174453.0,75772.0,88917.0,85536.0,166527.0,3965.0,335.0,836.0,27.0,1110.0,1653.0,52846.87751428752,11.49995617386918,29085.508595438314,88.97612202140404,19.00072949963601,6.661488940287642,325.90625,363.5,316.953125,321.25,398.828125,403.640625,282.953125,182.921875,129.875,2
625,203569.0,91220.0,99313.0,104256.0,177420.0,18862.0,419.0,1797.0,47.0,1181.0,3843.0,51774.83944510215,15.017192748895951,29782.237447744992,88.85360694113542,21.49208058348766,7.81968642622403,442.10714285714283,490.5,412.0357142857143,418.98214285714283,498.6607142857143,554.7321428571429,397.8392857142857,241.78571428571428,178.51785714285714,2
626,196397.0,79066.0,98302.0,98095.0,180385.0,7263.0,424.0,2832.0,48.0,2687.0,2758.0,51161.168200125256,15.73164595945967,27206.282463581418,89.94257164366054,23.798930118077163,8.781862837008712,346.4761904761905,471.23809523809524,480.2063492063492,352.5079365079365,414.984126984127,423.41269841269843,301.25396825396825,185.33333333333334,142.0,2
627,156529.0,74124.0,74783.0,81746.0,125262.0,22950.0,359.0,3081.0,35.0,1000.0,3842.0,54298.49406819184,16.572566731404404,31542.847089037816,90.9638566719266,32.14663953772144,12.539500400564751,1942.7,1943.4,2179.7,1885.0,2144.5,2369.0,1608.8,892.7,687.1,2
628,223389.0,102383.0,110946.0,112443.0,211011.0,6794.0,558.0,1038.0,41.0,1188.0,2759.0,43195.89792693463,16.122553737202818,27101.740743725073,86.86518483989812,14.95052024674447,5.075740335020972,303.685393258427,322.3820224719101,278.13483146067415,289.4719101123595,342.76404494382024,369.97752808988764,287.19101123595505,181.69662921348313,134.68539325842696,2
629,227133.0,106627.0,113786.0,113347.0,197470.0,19389.0,870.0,2749.0,79.0,2291.0,4285.0,38145.53886489414,21.29616025148261,23864.393967411164,86.5811680971061,23.065967803445567,9.675036383088322,336.14102564102564,375.5769230769231,459.87179487179486,336.20512820512823,367.2692307692308,394.3076923076923,317.9230769230769,198.1153846153846,126.55128205128206,2
630,719386.0,298267.0,350593.0,368793.0,613671.0,68879.0,1808.0,18261.0,212.0,4890.0,11665.0,64902.46155749486,9.39705848000934,34885.00082014385,90.46128338541477,30.79049692932584,11.457405063762709,1643.5892857142858,1827.0357142857142,1467.1607142857142,1551.607142857143,1963.2142857142858,1941.1964285714287,1280.642857142857,700.9464285714286,470.7857142857143,0
631,927396.0,452143.0,439784.0,487612.0,545895.0,323972.0,2031.0,27478.0,253.0,9043.0,18724.0,50753.69908970925,18.17936389913263,31167.63536396534,87.88002012678513,35.24289335774578,15.03558848539351,2503.3777777777777,2711.8,3155.222222222222,2627.5777777777776,2719.177777777778,2932.822222222222,1902.2,1148.2888888888888,908.3333333333334,0
632,27617.0,11838.0,13640.0,13977.0,16681.0,4814.0,266.0,719.0,44.0,3251.0,1842.0,43357.0,24.845,23922.0,81.8642,21.8317,9.4658,3187.0,4270.0,6215.0,3427.0,3270.0,3253.0,2046.0,1038.0,911.0,2
633,514184.0,205527.0,253680.0,260504.0,469306.0,19437.0,1692.0,9544.0,218.0,4611.0,9376.0,67737.67797130988,7.707430861909354,35541.25671549484,91.15922416294556,29.980753293762543,10.249229186050128,1371.6346153846155,1411.8653846153845,1202.7115384615386,1300.0192307692307,1515.0192307692307,1401.3653846153845,905.6153846153846,490.61538461538464,289.3076923076923,0
634,99831.0,46376.0,50643.0,49188.0,88467.0,4650.0,398.0,2387.0,72.0,1048.0,2809.0,46232.10421612525,14.025206167422946,26183.06432871553,87.56926715949953,19.76111117889233,7.36269302921938,325.3414634146341,305.8536585365854,383.2439024390244,290.1707317073171,304.780487804878,321.5609756097561,245.65853658536585,145.390243902439,112.90243902439025,2
635,115474.0,53724.0,56037.0,59437.0,107039.0,2366.0,508.0,1870.0,53.0,1538.0,2100.0,52871.50614857024,13.443209637667353,29151.807324592548,88.04348582797857,25.55979378648008,11.93707030153974,334.6666666666667,407.46153846153845,391.71794871794873,318.12820512820514,419.20512820512823,425.2307692307692,323.20512820512823,197.15384615384616,144.10256410256412,2
636,176460.0,78967.0,90038.0,86422.0,157983.0,7554.0,1013.0,3603.0,89.0,2599.0,3619.0,41656.438989006005,18.30900291567494,25478.0261872379,80.15742907741132,13.951269061543693,5.228345547999546,585.7297297297297,614.5135135135135,606.7567567567568,606.1621621621622,687.2162162162163,688.2432432432432,489.8378378378378,303.72972972972974,187.0,2
637,174298.0,78212.0,85478.0,88820.0,161012.0,6412.0,673.0,1917.0,46.0,1318.0,2920.0,53499.341639032005,13.430615331788088,29814.166978393325,87.3585406097603,25.63032447647133,9.845714536598239,467.2173913043478,518.5652173913044,484.4782608695652,435.7391304347826,537.0869565217391,547.8913043478261,396.3695652173913,237.7608695652174,163.97826086956522,2
638,156473.0,68503.0,76666.0,79807.0,127940.0,20461.0,665.0,2079.0,44.0,2382.0,2902.0,40728.346935254005,18.909674124609356,26566.147418404453,77.9320987013734,15.1114619435941,6.2937877493241645,407.9387755102041,427.1020408163265,360.8775510204082,382.0612244897959,451.85714285714283,453.55102040816325,347.1224489795918,215.9591836734694,146.85714285714286,2
639,85055.0,42299.0,41617.0,43438.0,79887.0,2397.0,503.0,380.0,22.0,344.0,1522.0,34200.33040973488,21.89838179766034,22561.896196578684,77.2834714278996,12.919088288754336,4.833986996649226,380.10714285714283,398.14285714285717,330.0357142857143,344.14285714285717,407.4642857142857,435.5357142857143,366.14285714285717,243.10714285714286,133.0,2
640,660931.0,277872.0,321547.0,339384.0,582197.0,39311.0,3124.0,7372.0,1522.0,11042.0,16363.0,60730.19163725109,10.87679890064167,33729.82368507454,91.22283293929321,26.475200569953596,9.501329813702187,1364.8484848484848,1433.439393939394,1228.909090909091,1268.8484848484848,1459.0,1399.8636363636363,963.5,534.1969696969697,361.5,0
