Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
78,79234,0.01,86700,42250,1,48,110,792,118.21
1811,79235,0.14,55900,38808,7,1454,3833,792,576.08
167,79236,1.42,74000,65000,1,105,262,792,383.48
299,79237,0.53,53900,65000,3,220,513,792,193.01
172,79239,8.39,82500,58929,1,85,211,792,198.93
41,79240,0.13,0,0,8,26,60,792,7.27
1104,79241,0.23,63900,47969,7,888,2480,792,341.24
62,79243,0.06,1000001,77981,2,39,90,792,52.96
449,79244,0.13,58900,35000,4,324,720,792,200.63
1335,79245,2.05,37100,31761,10,1000,2476,792,260.24
39,79247,0,34200,32083,8,25,64,792,7.6
941,79248,0.96,41300,34361,3,665,1493,792,597.14
686,79250,0.1,45500,42132,8,553,1508,792,179.3
34,79251,0.03,72500,50625,1,23,45,792,60.89
1928,79252,0.7,47800,35373,6,1363,3202,792,543.8
357,79255,0.35,51400,29559,3,241,571,792,200.64
202,79256,0.02,51700,35208,2,144,319,792,174.34
593,79257,0.47,53700,39792,3,452,1067,792,405.79
39,79258,0,0,0,2,28,67,792,32.25
43,79259,0.24,49500,108047,1,24,48,792,89.24
360,79261,2.57,60700,37969,2,225,527,792,226.44
1421,79311,0.22,79200,50690,20,1250,3445,793,173.46
442,79312,0.03,49100,37500,11,345,971,793,87.89
697,79313,0,65800,39097,12,569,1571,793,131.39
38,79314,0,39200,59583,3,27,56,793,16.01
4319,79316,0.82,65000,36667,25,3767,11451,793,467.27
0,79320,0,0,0,0,0,0,793,0
919,79322,0.01,50400,39420,7,774,2049,793,302.54
2409,79323,0.01,69900,54697,28,2164,6559,793,230.37
28,79324,0,0,0,1,24,61,793,70.91
928,79325,0.81,105600,44559,13,831,2319,793,178.27
26,79326,0,0,0,1,16,40,793,38.46
1297,79329,0.4,117800,62472,35,1198,3300,793,93.66
286,79330,1.38,226000,83333,1,53,114,793,181.6
4966,79331,1.14,56600,39847,18,4177,13258,793,747.56
6830,79336,0.01,83900,50843,39,6097,16972,793,432.11
0,79338,0,0,0,0,0,0,793,0
3175,79339,0.04,57700,35487,26,2652,7230,793,277.26
154,79342,0,70500,61250,4,124,352,793,95.66
692,79343,0.23,65800,42188,12,568,1571,793,136.49
28,79344,0,53900,30481,4,22,56,793,15.06
378,79345,0.09,68100,53281,5,323,920,793,189.76
1065,79346,0,33300,37115,6,882,2427,793,386.21
2885,79347,1.1,58800,46406,11,2565,7462,793,706.57
164,79350,0.02,64700,41488,272,136,392,793,1.44
632,79351,0.58,47300,33274,4,495,1326,793,324.73
8,79353,0.15,0,0,1,4,10,793,12.34
801,79355,0,60600,45640,4,668,1942,793,433.07
1945,79356,1.29,68200,47627,9,1628,6363,793,743.21
1004,79357,0,51200,34688,11,829,2303,793,218.21
472,79358,0.01,78900,50809,10,415,1116,793,108.55
1150,79359,0.02,55100,48042,14,1009,2899,793,211.51
4721,79360,0.02,101900,52864,16,4259,13574,793,849.59
2066,79363,0.49,96900,54601,46,1900,5369,793,115.74
3485,79364,0.31,64800,40284,41,3012,8172,793,197.19
477,79366,0.15,212800,102500,1348,452,1096,793,0.81
269,79367,0,61300,45250,20,241,645,793,31.67
52,79369,0,0,166000,7,38,88,793,13
1082,79370,3.83,43800,36208,5,684,1889,793,408.84
592,79371,0.05,43100,37235,5,490,1317,793,281.12
569,79372,0,57000,49191,109,494,1434,793,13.21
1502,79373,1.14,70100,46875,8,1281,3307,793,433.75
43,79376,0,101400,21771,1,35,95,793,112.47
131,79377,0,22500,42292,10,102,277,793,26.81
109,79378,0.04,38300,50625,11,93,236,793,20.7
262,79379,0,37000,42778,9,214,666,793,71.94
86,79380,0,75000,42344,19,80,197,793,10.18
532,79381,0.33,91900,45789,10,459,1263,793,129.86
2397,79382,0.21,147000,61563,132,2227,6291,793,47.7
0,79383,0,0,0,0,0,0,793,0
3974,79401,0.01,76100,13450,3055,3394,8408,794,2.75
0,79402,0,0,0,0,0,0,794,0
6483,79403,0.72,49200,33554,128,5748,16869,794,132.02
4018,79404,0.75,52600,27434,392,3554,11289,794,28.8
0,79405,0,0,0,0,0,0,794,0
3,79406,0,0,0,6162,2,6025,794,0.98
8480,79407,0.18,93600,40221,269,7667,19068,794,70.77
0,79408,0,0,0,0,0,0,794,0
0,79409,0,0,0,0,0,0,794,0
4390,79410,0.04,114900,36715,3911,4035,9429,794,2.41
3575,79411,0,50800,24244,5345,3023,7951,794,1.49
6019,79412,0.02,75100,33317,5020,5537,15650,794,3.12
9211,79413,0.08,116400,49384,4434,8632,21187,794,4.78
8054,79414,0.04,86300,34504,5408,7420,17121,794,3.17
7143,79415,0.31,59200,27270,267,6425,17689,794,66.23
